,eventIdx,game_id,Game Seconds,Game Period,X-Coordinate,Y-Coordinate,Shot Distance,Shot Angle,Shot Type,Was Net Empty,Last Event Type,Last X-Coordinate,Last Y-Coordinate,Time from Last Event (seconds),Distance from Last Event,Is Rebound,Change in Shot Angle,Speed,Is Goal
202201,125,2017021065,1231,2,-66,-34,158.68522300453813,77.62784474948177,0,0,0,23,-38,21,89.08984229416954,False,0.0,4.242373442579502,0
202202,126,2017021065,1250,2,-81,-13,15.264337522473747,148.3924977537511,0,0,5,-66,-34,19,25.80697580112788,True,70.76465300426932,1.3582618842698884,0
202203,132,2017021065,1281,2,35,-23,58.69412236331676,66.92958775017536,2,0,1,-69,22,11,113.3181362359971,False,0.0,10.30164874872701,0
202204,144,2017021065,1394,2,-86,11,11.40175425099138,15.255118703057777,6,0,6,-76,7,8,10.770329614269007,False,0.0,1.346291201783626,0
202205,147,2017021065,1428,2,79,-7,12.206555615733702,55.00797980144134,1,0,1,69,-22,7,18.027756377319943,False,0.0,2.575393768188564,0
202206,148,2017021065,1430,2,75,-1,14.0356688476182,85.91438322002513,0,0,5,79,-7,2,7.211102550927978,True,30.906403418583796,3.605551275463989,0
202207,150,2017021065,1432,2,82,7,9.899494936611664,135.0,0,0,3,82,6,1,1.0,False,0.0,1.0,0
202208,151,2017021065,1433,2,85,8,8.94427190999916,153.434948822922,0,0,5,82,7,1,3.1622776601683795,True,18.434948822922,3.1622776601683795,1
202209,159,2017021065,1517,2,-60,3,29.154759474226505,84.0938588862295,3,0,4,-45,28,1,29.154759474226505,False,0.0,29.154759474226505,0
202210,161,2017021065,1554,2,76,-20,23.853720883753127,33.02386755579665,0,0,6,-67,-5,34,143.78456106272327,False,0.0,4.22895767831539,0
202211,166,2017021065,1595,2,-46,18,46.61544808322666,67.28558764683275,2,0,0,-23,40,20,31.827660925679098,False,0.0,1.5913830462839549,0
202212,169,2017021065,1619,2,-69,-26,32.802438933713454,142.43140797117252,3,0,0,-94,35,12,65.92419889539804,False,0.0,5.493683241283169,0
202213,174,2017021065,1656,2,87,-7,7.280109889280518,15.945395900922854,0,0,3,-62,2,6,149.27156460625713,False,0.0,24.878594101042854,0
202214,186,2017021065,1746,2,69,-21,29.0,43.60281897270362,3,0,2,61,-9,1,14.422205101855956,False,0.0,14.422205101855956,0
202215,195,2017021065,1814,2,85,7,8.06225774829855,150.25511870305778,1,0,6,33,26,12,55.36244214266564,False,0.0,4.613536845222137,0
202216,201,2017021065,1878,2,-43,3,46.09772228646444,86.26860300083955,3,0,0,-87,-34,9,57.48912940721924,False,0.0,6.387681045246582,0
202217,215,2017021065,1983,2,-49,-18,43.86342439892262,114.22774531795416,3,0,6,-75,7,18,36.069377593742864,False,0.0,2.0038543107634923,0
202218,224,2017021065,2086,2,-52,13,39.21734310225516,70.64100582430528,0,0,2,-38,35,1,26.0768096208106,False,0.0,26.0768096208106,0
202219,230,2017021065,2174,2,61,-1,28.0178514522438,87.95459151111278,4,0,1,20,-22,44,46.06517122512408,False,0.0,1.046935709661911,0
